"CODES","DESCRIPTION","YEAR","UNIT_1_CODES","UNIT_1_DESCRIPTION","UNIT_2_CODES","UNIT_2_DESCRIPTION",
02062200,"Frozen bovine livers",2021,09,"Kilogram",?,"?",
02062900,"Frozen edible bovine offal (excl. tongues&livers)",2021,09,"Kilogram",?,"?",
02063000,"Fresh or chilled edible swine offal",2021,09,"Kilogram",?,"?",
02064100,"Frozen swine livers",2021,09,"Kilogram",?,"?",
02064900,"Frozen edible swine offal (excl. livers)",2021,09,"Kilogram",?,"?",
02068000,"Fresh or chilled edible offal of sheep, goats, horses,asses&mules or hinnies",2021,09,"Kilogram",?,"?",
02069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",2021,09,"Kilogram",?,"?",
02071100,"Fresh or chilled whole chickens",2021,09,"Kilogram",?,"?",
02071200,"Frozen whole chickens",2021,09,"Kilogram",?,"?",
02071311,"Fresh or chilled cuts of chicken, with bone",2021,09,"Kilogram",?,"?",
02071319,"Fresh or chilled boneless cuts of chicken",2021,09,"Kilogram",?,"?",
02071321,"Fresh or chilled midjoint wing of chicken",2021,09,"Kilogram",?,"?",
02071329,"Fresh or chilled offal of chicken, nes",2021,09,"Kilogram",?,"?",
02071411,"Frozen chicken cuts, with bone",2021,09,"Kilogram",?,"?",
02071419,"Frozen chicken cuts, nes",2021,09,"Kilogram",?,"?",
02071421,"Frozen midjoint wing of chicken",2021,09,"Kilogram",?,"?",
02071422,"Frozen chicken claw",2021,09,"Kilogram",?,"?",
02071429,"Frozen offal of chicken, nes",2021,09,"Kilogram",?,"?",
02072400,"Fresh or chilled whole turkeys",2021,09,"Kilogram",?,"?",
02072500,"Frozen whole turkeys",2021,09,"Kilogram",?,"?",
02072600,"Fresh or chilled cuts&offal of turkeys",2021,09,"Kilogram",?,"?",
02072700,"Frozen cuts&offal of turkeys",2021,09,"Kilogram",?,"?",
02074100,"Fresh or chilled whole ducks",2021,09,"Kilogram",?,"?",
02074200,"Frozen whole ducks",2021,09,"Kilogram",?,"?",
02074300,"Fresh or chilled fatty duck livers",2021,09,"Kilogram",?,"?",
02074400,"Fresh or chilled cuts&offal of ducks",2021,09,"Kilogram",?,"?",
02074500,"Frozen cuts&offal of ducks",2021,09,"Kilogram",?,"?",
02075100,"Fresh or chilled whole geese",2021,09,"Kilogram",?,"?",
02075200,"Frozen whole geese",2021,09,"Kilogram",?,"?",
02075300,"Fresh or chilled fatty goose livers",2021,09,"Kilogram",?,"?",
02075400,"Fresh or chilled cuts&offal of geese",2021,09,"Kilogram",?,"?",
02075500,"Frozen cuts&offal of geese",2021,09,"Kilogram",?,"?",
02076000,"Fresh, chilled or frozen meat&offals of guinea fowls",2021,09,"Kilogram",?,"?",
02081010,"Fresh of chilled meat of rabbits, excl. head",2021,09,"Kilogram",?,"?",
02081020,"Frozen meat of rabbits, excl. head",2021,09,"Kilogram",?,"?",
02081090,"Fresh, chilled or frozen hare meat&edible offal of rabbit/hare",2021,09,"Kilogram",?,"?",
02083000,"Fresh, chilled or frozen meat&edible offal of primates",2021,09,"Kilogram",?,"?",
02084000,"Fresh, chilled or frozen meat&edible offal of subheading 0106.12",2021,09,"Kilogram",?,"?",
02085000,"Fresh, chilled or frozen meat&edible offal of reptiles",2021,09,"Kilogram",?,"?",
02086000,"Fresh, chilled or frozen meat&edible offal of camels&other camelids",2021,09,"Kilogram",?,"?",
02089010,"Fresh, chilled or frozen meat&edible offal of squabs",2021,09,"Kilogram",?,"?",
02089090,"Fresh, chilled or frozen meat&edible offal, nes",2021,09,"Kilogram",?,"?",
02091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",2021,09,"Kilogram",?,"?",
02099000,"Poultry fat, not extracted, fresh, chilled, frozen,dried or salted",2021,09,"Kilogram",?,"?",
02101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",2021,09,"Kilogram",?,"?",
02101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",2021,09,"Kilogram",?,"?",
02101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",2021,09,"Kilogram",?,"?",
02101900,"Meat of swine, salted, in brine,dried or smoked, nes",2021,09,"Kilogram",?,"?",
02102000,"Meat of bovine animals, salted,in brine,dried or smoked",2021,09,"Kilogram",?,"?",
02109100,"Meat/edible offal of primates, saltd/brn/drd/smkd;flours&meals",2021,09,"Kilogram",?,"?",
02109200,"Meat/edible offal of subheading 0106.12, saltd/brn/drd/smkd;flours&meals",2021,09,"Kilogram",?,"?",
02109300,"Meat/edible offal of reptiles, saltd/brn/drd/smkd;flours&meals",2021,09,"Kilogram",?,"?",
02109900,"Other meat/edible offal, nes, saltd/brn/drd/smkd; flours&meals",2021,09,"Kilogram",?,"?",
03011100,"Live ornamental freshwater fish",2021,09,"Kilogram",?,"?",
03011900,"Other live ornamental fish",2021,09,"Kilogram",?,"?",
03019110,"Live trout fry",2021,09,"Kilogram",?,"?",
03019190,"Live trout, excl. fry",2021,09,"Kilogram",?,"?",
03019210,"Live eels fry",2021,09,"Kilogram",?,"?",
03019290,"Live eels, excl. fry",2021,09,"Kilogram",?,"?",
03019310,"Live Carp fry",2021,09,"Kilogram",?,"?",
03019390,"Live Carp, excl. fry",2021,09,"Kilogram",?,"?",
03019410,"Live fry of Atlantic&Pacific bluefin tunas",2021,09,"Kilogram",?,"?",
03019491,"Live Atlantic bluefin tunas, excl. fry",2021,09,"Kilogram",?,"?",
03019492,"Live Pacific bluefin tunas, excl. fry",2021,09,"Kilogram",?,"?",
03019510,"Live southern bluefin tunas fry",2021,09,"Kilogram",?,"?",
03019590,"Live southern bluefin tunas, excl. fry",2021,09,"Kilogram",?,"?",
03019911,"Live perch fry",2021,09,"Kilogram",?,"?",
03019912,"Live sturgeon fry",2021,09,"Kilogram",?,"?",
03019919,"Other live fry",2021,09,"Kilogram",?,"?",
03019991,"Live tilapia",2021,09,"Kilogram",?,"?",
03019992,"live puffer fish(fugu spp.)",2021,09,"Kilogram",?,"?",
03019993,"Other live carps",2021,09,"Kilogram",?,"?",
03019999,"Live fish nes, excl. Fry",2021,09,"Kilogram",?,"?",
